title,location,region,western,category,date_nomination,date_posting,num_editors,votes,codes
Eddie Sheldrake,United States,North America,Yes,Deaths,2025-05-19,2025-05-21,6,3:0,"policy:itnrd
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
2025 Portuguese legislative election,Portugal,Southern Europe,Yes,Elections,2025-05-18,2025-05-20,8,5:0,"policy:itnr
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
2025 Romanian presidential election,Romania,Eastern Europe,No,Elections,2025-05-18,2025-05-18,17,12:2,"policy:itnr
policy_support
quality_concerns
expansion_needed
discussion_long"
Domingos Maubere,"Dili, Timor-Leste",Southeast Asia,No,Deaths,2025-05-18,2025-05-21,4,2:0,"policy:itnrd
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
Eurovision Song Contest 2025,"Basel, Switzerland",Western Europe,Yes,Sports/Culture,2025-05-17,2025-05-18,7,5:0,"policy:itnr
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
2025 Philippine general election,Philippines,Southeast Asia,No,Elections,2025-05-16,2025-05-21,6,1:0,"policy:itnr
policy_support
sources_quality_good
quality_praised
ready_immediate"
"Duncan Campbell (journalist, born 1944)",,,Yes,Deaths,2025-05-16,2025-05-21,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Meta Velander,Sweden,Northern Europe,Yes,Deaths,2025-05-16,2025-05-18,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Luigi Alva,"Mariano Comense, Italy",Western Europe,Yes,Deaths,2025-05-19,2025-05-19,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Rich Rollins,"Akron, Ohio, USA",North America,Yes,Deaths,2025-05-15,2025-05-17,6,4:0,"policy:itnrd
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
Sharpe James,"West Orange, New Jersey, USA",North America,Yes,Deaths,2025-05-12,2025-05-16,6,3:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
End of the Kurdistan Workers' Party insurgency,Turkey,Western Asia,No,Political Events,2025-05-12,2025-05-16,21,16:1,"significance_regional
quality_concerns
expansion_needed
discussion_long"
Matthew Best (conductor),,,Yes,Deaths,2025-05-15,2025-05-16,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Koyo Kouoh,"Basel, Switzerland",Western Europe,No,Deaths,2025-05-12,2025-05-14,6,3:0,"policy:itnrd
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
Margot Friedländer,"Berlin, Germany",Western Europe,Yes,Deaths,2025-05-10,2025-05-10,5,3:0,"policy:itnrd
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
David Souter,"Hopkinton, New Hampshire, U.S.",North America,Yes,Deaths,2025-05-09,2025-05-10,8,6:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
2025 papal conclave,Vatican City,Southern Europe,Yes,Political Events,2025-05-08,2025-05-11,49,17:4,"policy:itnr
policy_support
policy_oppose
precedent_lacking
quality_concerns
discussion_long"
Friedrich Merz,Germany,Western Europe,Yes,Political Events,2025-05-06,2025-05-07,16,9:5,"policy:itnr
policy_support
sources_quality_good
quality_concerns
expansion_needed
discussion_long"
May Abrahamse,"Cape Town, South Africa",Southern Africa,Yes,Deaths,2025-05-10,2025-05-11,3,1:0,"policy:itnr
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
2025 World Snooker Championship,"Sheffield, England",British Isles,Yes,Sports/Culture,2025-05-05,2025-05-05,8,3:0,"policy:itnr
policy_support
sources_quality_good
ready_immediate
discussion_short"
2025 Kentucky Derby,"Churchill Downs, Louisville, Kentucky, USA",North America,No,Sports/Culture,2025-05-04,2025-05-05,6,3:0,"policy:itnr
policy_support
sources_quality_good
ready_immediate
discussion_short"
2025 Singaporean general election,Singapore,Southeast Asia,Yes,Elections,2025-05-03,2025-05-05,14,9:0,"policy:itnr
policy_support
quality_concerns
expansion_needed
discussion_long"
2025 Australian federal election,Australia,Oceania,Yes,Elections,2025-05-03,2025-05-03,21,16:0,"policy:itnrd
policy_support
ready_immediate
discussion_short"
Kari Løvaas,"Schaffhausen, Switzerland",Western Europe,No,Deaths,2025-05-01,2025-05-03,2,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Inah Canabarro Lucas,Brazil,South America,Yes,Deaths,2025-05-01,2025-05-03,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Roy Cooper (rodeo cowboy),"Decatur, Texas, USA",North America,Yes,Deaths,2025-05-02,2025-05-03,3,1:0,"policy:itnrd
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
David Horowitz,"Colorado, USA",North America,Yes,Deaths,2025-04-30,2025-05-02,8,5:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Tom Brown (safety),"Palm Harbor, Florida, USA",North America,No,Deaths,2025-04-29,2025-04-30,3,2:0,"policy:itnr
policy_support
quality_concerns
expansion_needed
discussion_long"
2025 Trinidad and Tobago general election,Trinidad and Tobago,Caribbean,Yes,Elections,2025-04-29,2025-05-03,12,8:3,"policy:itnr
policy_support
quality_concerns
expansion_needed
discussion_long"
2025 Canadian federal election,Canada,North America,Yes,Elections,2025-04-29,2025-04-30,26,9:0,"quality_concerns
expansion_needed
discussion_long
precedent_lacking
tone_dismissive"
2025 European power outage,Iberian Peninsula (Spain and Portugal),Southern Europe,Yes,Disasters,2025-04-28,2025-05-01,29,13:6,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Jiggly Caliente,"New York City, New York, USA",North America,No,Deaths,2025-04-27,2025-04-30,4,2:0,"sources_quality_good
quality_praised
ready_immediate
discussion_short"
Alexis Herman,"Washington, D.C., USA",North America,Yes,Deaths,2025-04-25,2025-04-26,5,3:0,"policy:itnrd
policy_support
quality_praised
ready_immediate
discussion_short"
Virginia Giuffre,"Neergabby, Western Australia, Australia",Oceania,Yes,Deaths,2025-04-26,2025-04-27,11,6:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Waltraut Haas,"Vienna, Austria",Central Europe,Yes,Deaths,2025-04-29,2025-04-30,5,3:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Jim Herriot,Scotland,British Isles,Yes,Deaths,2025-04-28,2025-04-30,3,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
2025 Pahalgam attack,"Pahalgam, Indian-administered Jammu and Kashmir, India",South Asia,No,Conflicts/Violence,2025-04-22,2025-04-23,16,11:0,"quality_concerns
discussion_long"
Stina Oscarson,Sweden,Northern Europe,Yes,Deaths,2025-04-20,2025-04-24,5,1:0,"policy:itnrd
policy_support
sources_quality_good
quality_concerns
expansion_needed
discussion_long"
Jennifer Toth,"Silver Spring, Maryland, USA",North America,Yes,Deaths,2025-04-19,2025-04-25,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Peter Seiffert,"Schleedorf, Salzburg, Austria",Western Europe,Yes,Deaths,2025-04-16,2025-04-17,5,3:0,"policy:itnrd
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
Aliza Magen-Halevi,"Jerusalem, Israel",Middle East,No,Deaths,2025-04-14,2025-04-19,4,1:1,"policy:itnrd
policy_support
quality_concerns
expansion_needed
discussion_long"
2025 Ecuadorian general election,Ecuador,South America,No,Elections,2025-04-14,2025-04-17,10,5:1,"policy:itnr
policy_support
quality_concerns
expansion_needed
discussion_long"
Mario Vargas Llosa,"Lima, Peru",South America,No,Deaths,2025-04-14,2025-04-16,25,15:2,"quality_concerns
expansion_needed
discussion_long"
Tommy Helms,,,Yes,Deaths,2025-04-14,2025-04-18,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Mikal Mahdi,"South Carolina, USA",North America,Yes,Legal,2025-04-11,2025-04-13,6,4:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Ray Shero,"Arizona, USA",North America,Yes,Deaths,2025-04-09,2025-04-12,5,3:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Amara Essy,"Abidjan, Ivory Coast",West Africa,No,Deaths,2025-04-12,2025-04-12,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Jet Set nightclub roof collapse,"Santo Domingo, Dominican Republic",Caribbean,No,Disasters,2025-04-08,2025-04-09,11,8:0,"sources_quality_good
quality_praised
ready_immediate
discussion_short"
Peter Geiger,"Schaan, Liechtenstein",Western Europe,Yes,Deaths,2025-04-07,2025-04-12,7,3:2,"policy:itnrd
policy_support
quality_concerns
expansion_needed
discussion_long"
Roberto De Simone,"Naples, Italy",Western Europe,Yes,Deaths,2025-04-10,2025-04-12,3,2:0,"policy:itnrd
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
2025 NCAA Division I men's/women's basketball championship games,"Tampa, Florida",North America,Yes,Sports/Culture,2025-04-07,2025-04-06,13,6:0,"policy:itnr
policy_support
quality_concerns
expansion_needed
discussion_long"
Alexander Ovechkin breaks Wayne Gretzky's goal record,"Washington, D.C., USA",North America,Yes,Sports/Culture,2025-04-06,2025-04-09,45,24:11,"quality_concerns
expansion_needed
discussion_long
tone_dismissive"
Impeachment of Yoon Suk Yeol,"Seoul, South Korea",East Asia,No,Political Events,2025-04-04,2025-04-04,13,11:0,"policy:itnr
policy_support
sources_quality_good
quality_praised
ready_immediate
discussion_short"
Tariffs in the second Trump administration,United States,North America,Yes,Economic,2025-04-02,2025-04-03,28,11:2,"quality_concerns
discussion_long"
Bill Cottrell,United States,North America,Yes,Deaths,2025-04-02,2025-04-06,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Khamtai Siphandone,"Vientiane, Laos",Southeast Asia,No,Deaths,2025-04-02,2025-04-03,5,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Mark Laforest,"Welland, Ontario, Canada",North America,Yes,Deaths,2025-04-02,2025-04-06,4,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Betty Webb (code breaker),"Worcestershire, England",British Isles,Yes,Deaths,2025-04-01,2025-04-02,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Marine Le Pen convicted,"Paris, France",Western Europe,Yes,Legal,2025-03-31,2025-03-31,40,15:12,"quality_concerns
expansion_needed
discussion_long
precedent_support"
Ray Barra,"Marbella, Spain",Southern Europe,Yes,Deaths,2025-03-28,2025-03-31,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
2025 Sagaing earthquake,"Sagaing Region, Myanmar",Southeast Asia,No,Disasters,2025-03-28,2025-03-28,21,10:0,"quality_concerns
expansion_needed
discussion_long"
Arrest of Riek Machar,"Juba, South Sudan",East Africa,No,Conflicts/Violence,2025-03-27,2025-03-29,17,8:1,"quality_concerns
expansion_needed
discussion_long
precedent_support"
Battle of Khartoum (2023–2025),"Khartoum, Sudan",North Africa,No,Conflicts/Violence,2025-03-27,2025-03-29,26,16:4,"quality_concerns
expansion_needed
discussion_long"
2025 Indonesian protests,Indonesia,Southeast Asia,No,Protests,2025-03-27,2025-03-27,12,6:1,"sources_quality_good
ready_immediate
discussion_short"
Christina McKelvie,"Glasgow, Scotland",British Isles,Yes,Deaths,2025-03-29,2025-03-31,6,3:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Fuad Noman,"Belo Horizonte, Minas Gerais, Brazil",South America,No,Deaths,2025-03-27,2025-03-28,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Stef Wertheimer,Israel,Middle East,No,Deaths,2025-03-26,2025-03-28,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
March 2025 South Korea wildfires,"Uiseong County, South Korea",East Asia,No,Disasters,2025-03-26,2025-03-27,14,9:1,"quality_concerns
expansion_needed
discussion_long"
Terry Manning,"El Paso, Texas, USA",North America,Yes,Deaths,2025-03-28,2025-03-29,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Masahiro Shinoda,,East Asia,No,Deaths,2025-03-28,2025-03-29,5,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Melsonby Hoard,"Melsonby, North Yorkshire, England",British Isles,Yes,Science/Tech,2025-03-25,2025-03-26,8,5:0,"sources_quality_good
quality_praised
ready_immediate
discussion_short"
Kitty Dukakis,"Brookline, Massachusetts, USA",North America,Yes,Deaths,2025-03-22,2025-03-24,7,4:1,"policy:itnrd
policy_support
quality_concerns
discussion_long"
Eddie James,"Florida State Prison, Raiford, Florida, USA",North America,Yes,Legal,2025-03-21,2025-03-24,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Kirsty Coventry,"Lausanne, Switzerland",Western Europe,Yes,Political Events,2025-03-20,2025-03-24,25,12:7,"quality_concerns
expansion_needed
discussion_long"
Aaron Gunches,"Florence State Prison, Arizona, USA",North America,Yes,Legal,2025-03-19,2025-03-19,3,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
2025 Turkish protests,Turkey,Western Asia,No,Protests,2025-03-19,2025-03-23,22,12:4,"quality_concerns
expansion_needed
discussion_long
precedent_support"
March 2025 Israeli attacks on the Gaza Strip,Gaza Strip,Western Asia,No,Conflicts/Violence,2025-03-18,2025-03-18,21,20:1,"quality_concerns
discussion_long"
Kočani nightclub fire,"Kočani, North Macedonia",Southeastern Europe,No,Disasters,2025-03-16,2025-03-17,12,7:1,"quality_concerns
expansion_needed
discussion_long"
Peter Bichsel,"Zuchwil, Switzerland",Western Europe,Yes,Deaths,2025-03-17,2025-03-19,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Slick Watts,,North America,Yes,Deaths,2025-03-17,2025-03-17,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
March 2025 United States attacks in Yemen,Yemen,Middle East,Yes,Conflicts/Violence,2025-03-16,2025-03-19,10,6:2,"quality_concerns
expansion_needed
discussion_long"
"Tornado outbreak of March 13–16, 2025",United States,North America,Yes,Disasters,2025-03-15,2025-03-18,18,11:4,"quality_concerns
expansion_needed
discussion_long"
Manfred Schukowski,Germany,Western Europe,Yes,Deaths,2025-03-19,2025-03-20,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Dag Solstad,Norway,Northern Europe,Yes,Deaths,2025-03-18,2025-03-20,2,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Virginia Newell,"Winston-Salem, North Carolina, USA",North America,Yes,Deaths,2025-03-15,2025-03-19,2,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Alan Simpson (American politician),"Cody, Wyoming, USA",North America,Yes,Deaths,2025-03-14,2025-03-19,5,2:0,"policy:itnrd
policy_support
quality_concerns
discussion_long"
Sofia Gubaidulina,"Appen, Germany",Western Europe,Yes,Deaths,2025-03-13,2025-03-15,9,4:0,"policy:itnrd
policy_support
quality_concerns
expansion_needed
discussion_long"
Junior Bridgeman,"Louisville, Kentucky, USA",North America,Yes,Deaths,2025-03-12,2025-03-13,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Jaffar Express hijacking,"Balochistan, Pakistan",South Asia,No,Conflicts/Violence,2025-03-11,2025-03-13,18,16:0,"quality_concerns
expansion_needed
discussion_long"
Arrest of Rodrigo Duterte,"Metro Manila, Philippines",Southeast Asia,No,Legal,2025-03-11,2025-03-12,31,20:7,"quality_concerns
discussion_long
precedent_support"
Marc Neil-Jones,Vanuatu,Oceania,No,Deaths,2025-03-11,2025-03-13,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Stanley R. Jaffe,"Rancho Mirage, California, USA",North America,Yes,Deaths,2025-03-11,2025-03-14,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Art Schallock,"Sonoma, California, USA",North America,Yes,Deaths,2025-03-09,2025-03-11,4,2:1,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Doyin Okupe,"Lagos, Nigeria",West Africa,No,Deaths,2025-03-08,2025-03-11,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
IM-2,"Mons Mouton, lunar south pole",Moon,Yes,Science/Tech,2025-03-06,2025-03-11,15,6:3,"policy:itnr
policy_support
quality_concerns
discussion_long"
Edesio Alejandro,"Alcalá de Henares, Spain",Western Europe,No,Deaths,2025-03-08,2025-03-10,2,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
2024 Turing Award,,,Yes,Science/Tech,2025-03-07,2025-03-10,6,2:0,"policy:itnr
policy_support
quality_concerns
expansion_needed
discussion_long"
2025 United States trade war with Canada and Mexico,"United States, Canada and Mexico","North America, East Asia",Yes,Economic,2025-03-04,2025-03-05,17,11:0,"quality_concerns
discussion_long"
Jack Vettriano,"Nice, France",Western Europe,Yes,Deaths,2025-03-03,2025-03-03,6,3:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
97th Academy Awards,"Hollywood, Los Angeles, California, USA",North America,Yes,Sports/Culture,2025-03-03,2025-03-02,11,5:1,"policy:itnr
policy_support
quality_concerns
expansion_needed
discussion_short"
Blue Ghost Mission 1,"Mare Crisium, Moon",Outer space,Yes,Science/Tech,2025-03-02,2025-03-03,21,11:3,"policy:itnr
policy_support
quality_concerns
discussion_long"
2024 United Nations Biodiversity Conference,"Rome, Italy",Southern Europe,N/A,Political Events,2025-02-28,2025-02-28,12,6:3,"quality_concerns
discussion_long"
Betsy Arakawa,"Santa Fe, New Mexico, USA",North America,Yes,Deaths,2025-03-03,2025-03-04,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Anil R. Joshi,"Mumbai, India",South Asia,No,Deaths,2025-02-26,2025-03-01,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Michelle Trachtenberg,"Manhattan, New York City, USA",North America,Yes,Deaths,2025-02-26,2025-02-27,14,7:3,"policy:itnrd
policy_support
quality_concerns
expansion_needed
discussion_long"
Jeong Su-il,South Korea,East Asia,No,Deaths,2025-02-26,2025-02-27,6,2:1,"policy:itnrd
policy_support
quality_concerns
expansion_needed
discussion_long"